month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-06,South Carolina,8068,236,8236,3834,740,652,0,10,4,0,865,383,6,117,7,2,0,0,12,11,2,0,1,0,23186
2019-06,South Dakota,555,0,2162,2237,166,156,0,2,1,1,126,152,2,0,0,0,0,0,3,2,1,0,0,0,5566
2019-06,Tennessee,12748,0,20708,9777,1510,0,0,0,0,0,0,0,0,49,9,1,0,0,0,0,0,0,0,0,44802
2019-06,Texas,25136,0,37592,22608,3351,4335,2,61,46,2,5591,2851,32,59,3,0,0,0,58,19,9,3,2,2,101762
2019-06,Utah,10927,52104,2803,2571,273,0,0,3,3,2,272,254,0,149,50,27,0,0,0,0,0,0,0,0,69438
2019-06,Vermont,0,0,1116,982,101,61,1,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,0,0,2269
2019-06,Virgin Islands,62,0,38,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
2019-06,Virginia,994,142,20006,9518,2825,0,0,0,0,0,0,0,0,46,12,0,0,0,0,0,0,0,0,0,33543
2019-06,Washington,14966,176,28670,18920,12059,3101,6,18,12,5,1388,1017,34,419,108,10,0,0,1299,993,195,23,16,1,83436
2019-06,West Virginia,1982,0,4894,3738,302,263,0,8,10,0,855,765,0,5,1,1,0,0,11,5,0,0,1,0,12841
2019-06,Wisconsin,8041,537,11174,7388,854,46,0,0,0,9,139,190,4,89,30,2,0,0,0,4,0,0,0,0,28507
2019-06,Wyoming,429,4,1664,1728,160,114,0,2,2,0,136,197,2,0,0,0,0,0,3,6,0,0,0,0,4447
2019-05,Alabama,30221,643,6448,4041,271,342,0,13,11,3,1170,717,4,0,0,0,0,0,14,8,2,0,0,0,43908
2019-05,Alaska,264,6,2716,2440,287,199,0,0,1,0,195,126,0,56,40,0,0,0,25,21,0,0,0,0,6376
2019-05,Arizona,6745,517,11969,5987,1242,724,0,12,4,5,1080,518,6,102,8,1,0,0,19,10,0,0,1,0,28950
2019-05,Arkansas,3582,751,4600,3499,293,421,0,13,5,2,1062,1065,2,0,0,0,0,0,8,11,2,1,0,0,15317
2019-05,California,45237,0,36314,24718,4700,0,0,0,0,0,502,326,19,0,0,0,0,0,0,0,0,0,0,0,111816
2019-05,Colorado,6697,0,16653,10619,1445,1023,0,0,0,0,0,0,0,309,67,1,0,0,0,0,0,0,0,0,36814
2019-05,Connecticut,7367,439,4655,1622,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14737
2019-05,Delaware,642,0,1568,1028,159,90,0,2,1,0,15,7,0,88,0,0,0,0,63,27,0,0,4,0,3694
2019-05,District of Columbia,244,0,142,4,0,4,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,417
2019-05,Florida,16117,0,45087,14214,3760,2422,3,32,11,0,3781,1109,5,1031,123,5,0,0,239,137,46,41,41,0,88204
2019-05,Georgia,17365,0,10988,5172,558,674,0,28,16,0,1726,888,7,0,0,0,0,0,14,5,1,1,1,0,37444
2019-05,Guam,0,0,102,46,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163
2019-05,Hawaii,1100,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1105
2019-05,Idaho,8651,1,3738,3728,359,243,0,6,5,0,367,410,0,27,7,5,0,0,7,10,1,0,0,0,17565
2019-05,Illinois,13168,342314,17976,7587,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381771
2019-05,Indiana,110,266081,15062,8146,1431,619,22,3,3,1,577,375,19,24,1,0,0,0,62,29,19,1,2,0,292587
2019-05,Iowa,4762,6379,115,1471,27,1,1,0,1,0,2,37,1,36,10,4,0,0,0,2,1,0,0,0,12850
2019-05,Kansas,1915,1,4466,3391,462,407,0,13,1,0,558,258,12,24,3,0,0,0,18,7,1,0,1,0,11538
2019-05,Kentucky,315756,0,7899,4585,343,511,2,17,13,0,1765,1135,2,3,2,0,0,0,21,19,1,1,1,0,332076
2019-05,Louisiana,2565,103,8327,5074,724,768,0,5,3,0,1059,615,4,0,0,0,0,0,17,7,1,1,1,0,19274
2019-05,Maine,576,8,2886,2285,331,192,1,0,0,0,98,112,0,17,33,0,0,0,2,9,1,0,1,0,6552
2019-05,Mariana Islands,0,0,7,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2019-05,Maryland,3475,0,3385,3645,89,25,0,3,5,0,65,103,0,58,26,0,0,0,0,23,0,1,1,0,10904
2019-05,Massachusetts,11447,0,3759,2113,437,182,1,0,0,0,0,6,0,0,0,0,0,0,31,25,5,0,1,0,18007
2019-05,Michigan,19176,9,9057,5984,602,196,0,0,3,0,11,214,2,78,5,0,0,0,11,3,0,0,0,1,35352
2019-05,Minnesota,11487,26988,8570,7754,809,378,0,2,3,1,201,275,2,47,14,1,0,0,14,15,2,0,1,0,56564
2019-05,Mississippi,1613,0,6614,3553,353,495,0,25,9,2,1643,868,2,0,0,0,0,0,7,5,1,0,0,0,15190
